lb,ub,mean_width,coverage,estimator,$n_b$,prop_budget,seed
-0.15192108,0.13531123,0.2872323,1,classical,100,0.01,0
-0.13298675,0.19684502,0.32983178,1,classical,100,0.01,1
-0.13422057,0.29857594,0.4327965,1,classical,100,0.01,2
-0.13499099,0.13036838,0.26535937,1,classical,100,0.01,3
-0.11037094,0.13334736,0.2437183,1,classical,100,0.01,4
-0.109178126,0.17434862,0.28352675,1,classical,100,0.01,5
-0.2246421,-0.037980773,0.18666133,0,classical,100,0.01,6
-0.06623769,0.25768495,0.32392263,1,classical,100,0.01,7
-0.23330212,0.061396368,0.29469848,1,classical,100,0.01,8
-0.11968842,0.28964874,0.40933716,1,classical,100,0.01,9
-0.18650715,-0.045192063,0.14131509,0,uniform+pai,100,0.01,0
-0.17373848,0.10315767,0.27689615,1,uniform+pai,100,0.01,1
-0.12537497,0.08715714,0.2125321,1,uniform+pai,100,0.01,2
-0.25263625,-0.03863763,0.21399862,0,uniform+pai,100,0.01,3
-0.2456328,0.024909638,0.27054244,1,uniform+pai,100,0.01,4
-0.065491065,0.22878529,0.29427636,1,uniform+pai,100,0.01,5
-0.15747638,0.0713419,0.22881828,1,uniform+pai,100,0.01,6
-0.0829049,0.317411,0.4003159,1,uniform+pai,100,0.01,7
-0.114372,0.09499022,0.20936222,1,uniform+pai,100,0.01,8
-0.12348405,0.11383171,0.23731576,1,uniform+pai,100,0.01,9
-0.03672716,0.3481679,0.38489506,1,faq,100,0.01,0
-0.10135962,0.21731399,0.3186736,1,faq,100,0.01,1
-0.10107207,0.27950865,0.38058072,1,faq,100,0.01,2
-0.19462632,0.101794764,0.29642108,1,faq,100,0.01,3
-0.20326522,-0.029335268,0.17392996,0,faq,100,0.01,4
-0.198342,0.09209492,0.29043692,1,faq,100,0.01,5
-0.17212372,0.12717773,0.29930145,1,faq,100,0.01,6
-0.13385607,0.22992359,0.36377966,1,faq,100,0.01,7
-0.086532846,0.16970451,0.25623736,1,faq,100,0.01,8
-0.20298594,0.07178539,0.27477133,1,faq,100,0.01,9
-0.10581645,0.05579413,0.16161059,1,classical,325,0.0325,0
-0.088710226,0.0724689,0.16117913,1,classical,325,0.0325,1
-0.14993873,0.017285056,0.16722378,1,classical,325,0.0325,2
-0.13571814,0.071228035,0.20694616,1,classical,325,0.0325,3
-0.09796742,0.066263504,0.16423093,1,classical,325,0.0325,4
-0.09207946,0.080786005,0.17286547,1,classical,325,0.0325,5
-0.14148343,0.009476423,0.15095985,1,classical,325,0.0325,6
-0.09334486,0.08285124,0.1761961,1,classical,325,0.0325,7
-0.021539211,0.18231767,0.20385689,1,classical,325,0.0325,8
-0.1406246,0.04391097,0.18453556,1,classical,325,0.0325,9
-0.119449735,-0.014890615,0.10455912,0,uniform+pai,325,0.0325,0
-0.14974141,-0.030250419,0.119490996,0,uniform+pai,325,0.0325,1
-0.06280179,0.11243613,0.17523792,1,uniform+pai,325,0.0325,2
-0.061024044,0.074612066,0.1356361,1,uniform+pai,325,0.0325,3
-0.106136814,-0.006955575,0.099181235,1,uniform+pai,325,0.0325,4
-0.067883156,0.10287144,0.1707546,1,uniform+pai,325,0.0325,5
-0.047221474,0.131486,0.17870748,1,uniform+pai,325,0.0325,6
-0.09973784,0.04328029,0.14301813,1,uniform+pai,325,0.0325,7
0.0029242784,0.18086712,0.17794284,0,uniform+pai,325,0.0325,8
-0.12528984,0.02127121,0.14656106,1,uniform+pai,325,0.0325,9
-0.10566911,0.05694984,0.16261895,1,faq,325,0.0325,0
-0.14654097,-0.026705991,0.119834974,0,faq,325,0.0325,1
-0.09702757,0.05610816,0.15313573,1,faq,325,0.0325,2
-0.09206381,0.043342613,0.13540642,1,faq,325,0.0325,3
-0.08608487,0.027915826,0.1140007,1,faq,325,0.0325,4
-0.10690346,0.027236756,0.13414022,1,faq,325,0.0325,5
-0.12970002,-0.023433853,0.10626617,0,faq,325,0.0325,6
-0.15836838,-0.031200953,0.12716743,0,faq,325,0.0325,7
0.003759101,0.21161674,0.20785764,0,faq,325,0.0325,8
-0.051274866,0.115175456,0.16645032,1,faq,325,0.0325,9
-0.09972167,0.018871296,0.11859296,1,classical,550,0.055,0
-0.08006564,0.052785054,0.13285069,1,classical,550,0.055,1
-0.092161864,0.053206395,0.14536826,1,classical,550,0.055,2
-0.09360484,0.075162,0.16876684,1,classical,550,0.055,3
-0.099281155,0.045321666,0.14460282,1,classical,550,0.055,4
-0.06282879,0.06714714,0.12997593,1,classical,550,0.055,5
-0.014738802,0.11626883,0.13100763,1,classical,550,0.055,6
-0.09812789,0.028107855,0.12623574,1,classical,550,0.055,7
-0.08348895,0.057852708,0.14134166,1,classical,550,0.055,8
-0.041894913,0.092947155,0.13484207,1,classical,550,0.055,9
-0.13431372,-0.040620405,0.093693316,0,uniform+pai,550,0.055,0
-0.07875261,0.0372446,0.11599721,1,uniform+pai,550,0.055,1
-0.043367077,0.083615914,0.12698299,1,uniform+pai,550,0.055,2
-0.089824215,0.025496807,0.115321025,1,uniform+pai,550,0.055,3
-0.007666804,0.15313283,0.16079962,0,uniform+pai,550,0.055,4
-0.0027901754,0.14255363,0.14534381,0,uniform+pai,550,0.055,5
-0.03103146,0.11039591,0.14142737,1,uniform+pai,550,0.055,6
-0.0035376623,0.15117502,0.15471268,0,uniform+pai,550,0.055,7
-0.09989226,0.0060570277,0.10594928,1,uniform+pai,550,0.055,8
-0.11916453,-0.01996927,0.09919526,0,uniform+pai,550,0.055,9
-0.041354373,0.09092295,0.13227732,1,faq,550,0.055,0
-0.08358441,0.023623364,0.107207775,1,faq,550,0.055,1
-0.041301094,0.09370146,0.13500255,1,faq,550,0.055,2
-0.07407144,0.05615401,0.13022545,1,faq,550,0.055,3
-0.13595495,-0.0445656,0.09138934,0,faq,550,0.055,4
-0.047867145,0.07715658,0.12502372,1,faq,550,0.055,5
-0.015143286,0.102580905,0.117724195,1,faq,550,0.055,6
-0.030401979,0.1190885,0.14949048,1,faq,550,0.055,7
-0.113628566,-0.016580272,0.0970483,0,faq,550,0.055,8
-0.055871606,0.07643312,0.13230473,1,faq,550,0.055,9
-0.038822614,0.08564441,0.12446702,1,classical,775,0.0775,0
-0.058683816,0.048380647,0.10706446,1,classical,775,0.0775,1
-0.07384554,0.030300817,0.10414636,1,classical,775,0.0775,2
-0.062144317,0.048667863,0.11081218,1,classical,775,0.0775,3
-0.06665253,0.039636318,0.10628885,1,classical,775,0.0775,4
-0.08634816,0.018149197,0.10449736,1,classical,775,0.0775,5
-0.039229583,0.0789538,0.11818339,1,classical,775,0.0775,6
-0.0413131,0.09889831,0.1402114,1,classical,775,0.0775,7
-0.05830352,0.059601784,0.117905304,1,classical,775,0.0775,8
-0.06284645,0.051779434,0.114625886,1,classical,775,0.0775,9
-0.06782492,0.03538955,0.10321447,1,uniform+pai,775,0.0775,0
-0.041786414,0.07100546,0.11279188,1,uniform+pai,775,0.0775,1
-0.08058258,0.0337236,0.11430618,1,uniform+pai,775,0.0775,2
-0.06713478,0.022168592,0.089303374,1,uniform+pai,775,0.0775,3
-0.06656277,0.034755673,0.10131845,1,uniform+pai,775,0.0775,4
-0.053961385,0.051696252,0.10565764,1,uniform+pai,775,0.0775,5
-0.041627727,0.078334756,0.11996248,1,uniform+pai,775,0.0775,6
-0.038270213,0.08029476,0.11856497,1,uniform+pai,775,0.0775,7
-0.091149375,-0.004843291,0.08630608,1,uniform+pai,775,0.0775,8
-0.07601965,0.017866319,0.09388597,1,uniform+pai,775,0.0775,9
-0.058719885,0.032527108,0.09124699,1,faq,775,0.0775,0
-0.056105245,0.063854344,0.11995959,1,faq,775,0.0775,1
-0.042792767,0.06569981,0.108492576,1,faq,775,0.0775,2
-0.09629159,0.000793539,0.097085126,1,faq,775,0.0775,3
-0.06352299,0.043502755,0.10702574,1,faq,775,0.0775,4
-0.105081834,-0.01943332,0.085648514,0,faq,775,0.0775,5
-0.06244631,0.030454466,0.092900775,1,faq,775,0.0775,6
-0.05552814,0.044469096,0.09999724,1,faq,775,0.0775,7
-0.094232485,-0.004737716,0.089494765,1,faq,775,0.0775,8
-0.06412961,0.047513388,0.111643,1,faq,775,0.0775,9
-0.083766386,0.014395352,0.09816174,1,classical,1000,0.1,0
-0.04423871,0.07912986,0.12336857,1,classical,1000,0.1,1
-0.09214225,0.010428667,0.102570914,1,classical,1000,0.1,2
-0.03917799,0.06995782,0.109135814,1,classical,1000,0.1,3
-0.074766666,0.03299801,0.107764676,1,classical,1000,0.1,4
-0.068024755,0.031867966,0.09989272,1,classical,1000,0.1,5
0.00587216,0.12504767,0.11917551,0,classical,1000,0.1,6
-0.084148996,0.011076473,0.09522547,1,classical,1000,0.1,7
-0.049169134,0.067804076,0.11697321,1,classical,1000,0.1,8
-0.04767583,0.054185655,0.101861484,1,classical,1000,0.1,9
-0.054501995,0.03309796,0.087599955,1,uniform+pai,1000,0.1,0
-0.04926276,0.053388897,0.102651656,1,uniform+pai,1000,0.1,1
0.015110437,0.13882858,0.12371814,0,uniform+pai,1000,0.1,2
-0.09929548,-0.023959659,0.07533582,0,uniform+pai,1000,0.1,3
-0.030292708,0.052494776,0.082787484,1,uniform+pai,1000,0.1,4
0.009104472,0.11504702,0.10594255,0,uniform+pai,1000,0.1,5
-0.07412923,0.014785374,0.0889146,1,uniform+pai,1000,0.1,6
-0.051589597,0.033733588,0.085323185,1,uniform+pai,1000,0.1,7
-0.08035655,-0.0041734315,0.076183125,1,uniform+pai,1000,0.1,8
-0.076405756,-0.0059697405,0.070436016,1,uniform+pai,1000,0.1,9
-0.009192809,0.088524245,0.097717054,0,faq,1000,0.1,0
-0.08889941,-0.009414315,0.079485096,1,faq,1000,0.1,1
-0.03053851,0.07673864,0.107277155,1,faq,1000,0.1,2
-0.041009005,0.06500888,0.10601789,1,faq,1000,0.1,3
-0.08128007,-0.0043966584,0.076883405,1,faq,1000,0.1,4
-0.06680238,0.022863068,0.08966545,1,faq,1000,0.1,5
0.002644468,0.10508686,0.1024424,0,faq,1000,0.1,6
-0.025611214,0.07427757,0.09988879,1,faq,1000,0.1,7
-0.054257695,0.0343553,0.088612996,1,faq,1000,0.1,8
-0.0738204,0.035589732,0.10941013,1,faq,1000,0.1,9
